,position,company,location,min_salary,max_salary,currency,link
0,"Инженер-программист C++, Python",ТОО ЦЕНТР БЕСПИЛОТНЫХ СИСТЕМ КАЗАХСТАНА ,Нур-Султан,500000,,KZT,https://hh.ru/vacancy/37027359?query=Python
1,Data аналитик, MANGO OFFICE ,Москва,,,,https://hh.ru/vacancy/37036122?query=Python
2,Middle software developer (ML),ТОО GLOTUS Limited Kazakhstan ,Алматы,,,,https://hh.ru/vacancy/36818921?query=Python
3,Программист (C# / Python / Java / NodeJS),ИП Смелов Владимир Павлович,Москва,70000,140000,руб.,https://hh.ru/vacancy/37342385?query=Python
4,Data Scientist, ЦРТ | Группа компаний ,Санкт-Петербург,,,,https://hh.ru/vacancy/37369353?query=Python
5,Web-аналитик," Риалвеб, Интернет-агентство ",Санкт-Петербург,,,,https://hh.ru/vacancy/37163724?query=Python
6,Python разработчик,ОАО Банк Бай-Тушум ,Бишкек,,,,https://hh.ru/vacancy/37290118?query=Python
7,Инженер-программист группы бизнес аналитики и разработки (BI)," А1. Информационные технологии, телеком ",Минск,,,,https://hh.ru/vacancy/37400322?query=Python
8,QA Automation Engineer,УП Руна Системс ,Минск,,,,https://hh.ru/vacancy/36689982?query=Python
9,Game Tools Developer (World of Tanks)," Wargaming, Minsk (Game Stream) ",Минск,,,,https://hh.ru/vacancy/37400492?query=Python
10,Инженер-программист,ОАО БПС-Сбербанк ,Минск,,,,https://hh.ru/vacancy/37355786?query=Python
11,Специалист по информационной безопасности,ИП Смелов Владимир Павлович,Москва,70000,140000,руб.,https://hh.ru/vacancy/37375980?query=Python
12,Python Developer (Middle/Senior), SoftTeco ,Минск,,,,https://hh.ru/vacancy/37332357?query=Python
13,Marketing Analyst, PRISMA ,Санкт-Петербург,,,,https://hh.ru/vacancy/37361879?query=Python
14,Researcher in Mathematical Modeling and Algorithms,ООО СК хайникс мемори солюшнс Восточная Европа ,Минск,,,,https://hh.ru/vacancy/35441422?query=Python
15,Frontend-разработчик midle (React.js \ ExtJS), CATAPULTO.RU ,Москва,100000,150000,руб.,https://hh.ru/vacancy/37328608?query=Python
16,Старший специалист по тестированию ПО, CBS Interactive ,Москва,,150000,руб.,https://hh.ru/vacancy/37036702?query=Python
17,DevOps-инженер,ООО Торбор-Агро ,Краснодар,60000,120000,руб.,https://hh.ru/vacancy/37335125?query=Python
18,Development Manager,ООО Кайриба Инжиниринг ,Минск,,,,https://hh.ru/vacancy/37168750?query=Python
19,DevOps Engineer, Syberry CIS ,Минск,,,,https://hh.ru/vacancy/36618211?query=Python
20,Старший программист, Снежная Королева ,Москва,,180000,руб.,https://hh.ru/vacancy/36348947?query=Python
21,Сетевой инженер,ООО БайТехСервис ,Минск,,,,https://hh.ru/vacancy/37359751?query=Python
22,Разработчик DWH [id 21076], ПАО «Газпром нефть» ,Санкт-Петербург,,,,https://hh.ru/vacancy/36308035?query=Python
23,DevOps Engineer, APALON ,Минск,,,,https://hh.ru/vacancy/37353951?query=Python
24,Менеджер по управлению рисками,ООО universal sugurta ,Ташкент,,,,https://hh.ru/vacancy/35341930?query=Python
25,Сетевой администратор, ОсОО Кондитерский дом Куликовский ,Новосибирск,35000,45000,KGS,https://hh.ru/vacancy/37328279?query=Python
26,Computer Vision Engineer (C++/Python), Neurus ,Москва,170000,280000,руб.,https://hh.ru/vacancy/37313645?query=Python
27,Разработчик Python / Django,ООО Смартекс ,Москва,150000,200000,руб.,https://hh.ru/vacancy/36876631?query=Python
28,Python разработчик,ООО Константа ,Москва,170000,220000,руб.,https://hh.ru/vacancy/37005696?query=Python
29,Программист Python,ООО Доверенная среда ,Москва,180000,210000,руб.,https://hh.ru/vacancy/36680277?query=Python
30,Python Developer (Django), Muzlab ,Санкт-Петербург,100000,,руб.,https://hh.ru/vacancy/37106283?query=Python
31,Программист C++/Python,АО Интегрис ,Москва,110000,,руб.,https://hh.ru/vacancy/37184106?query=Python
32,Python Data Scientist, Web Interactive World ,Москва,150000,,руб.,https://hh.ru/vacancy/36916080?query=Python
33,Разработчик Python, Vilesse ,Санкт-Петербург,150000,200000,руб.,https://hh.ru/vacancy/37394225?query=Python
34,Разработчик Python middle/senior, ASD Korea ,Новосибирск,150000,,руб.,https://hh.ru/vacancy/37134788?query=Python
35,Аналитик данных / Data Analyst (Python/R),ООО Софтвайс ,Санкт-Петербург,116000,161000,руб.,https://hh.ru/vacancy/37104093?query=Python
36,Программист Python, Мясоперерабатывающий холдинг АРГО ,Москва,150000,,руб.,https://hh.ru/vacancy/37402770?query=Python
37,"Lead Python Developer (Tallinn, Estonia)", Reinvent Baltics ,Санкт-Петербург,3500,7000,EUR,https://hh.ru/vacancy/37084785?query=Python
38,Backend python/Django разработчик,ООО БОЛЬШАЯ ТРОЙКА ,Москва,120000,200000,руб.,https://hh.ru/vacancy/37005320?query=Python
39,Senior Data Scientist, Gradient ,Москва,300000,,руб.,https://hh.ru/vacancy/37294434?query=Python
40,Вакансия backend разработчика (Python),ООО Серверные Технологии ,Москва,1000,1600,USD,https://hh.ru/vacancy/37250261?query=Python
41,Senior Python developer, NetworkOptix ,Москва,4000,,USD,https://hh.ru/vacancy/30005963?query=Python
42,"Backend Developer (python/go, Удалённо)", DEEP & HARD ,Москва,160000,,руб.,https://hh.ru/vacancy/37403087?query=Python
43,Senior Python Developer / Ведущий Python-разработчик, ASD Technologies ,Москва,200000,,руб.,https://hh.ru/vacancy/36444270?query=Python
44,Python developer, B2Broker Санкт-Петербург ,Санкт-Петербург,150000,200000,руб.,https://hh.ru/vacancy/36267290?query=Python
45,Python senior developer, BestDoctor ,Москва,180000,250000,руб.,https://hh.ru/vacancy/37115745?query=Python
46,QA Automation Engineer (Python), NetworkOptix ,Москва,3000,,USD,https://hh.ru/vacancy/35419959?query=Python
47,Data Engineer (Python),ООО КИБЕРТОНИКА ,Москва,90000,150000,руб.,https://hh.ru/vacancy/36991105?query=Python
48,Программист Python, RU PRO ,Калининград,,,,https://hh.ru/vacancy/37311434?query=Python
49,Backend разработчик на python, ОГО! онлайн-гипермаркет ,Москва,100000,,руб.,https://hh.ru/vacancy/37161562?query=Python
50,Backend Python разработчик, ТРИНИТИ ,Санкт-Петербург,120000,150000,руб.,https://hh.ru/vacancy/37243431?query=Python
51,Разработчик Python, Vilesse ,Москва,150000,200000,руб.,https://hh.ru/vacancy/37415007?query=Python
52,Python developer (удаленно), B2Broker Санкт-Петербург ,Томск,150000,200000,руб.,https://hh.ru/vacancy/37227127?query=Python
53,Data Scientist,ООО Варити ,Москва,130000,,руб.,https://hh.ru/vacancy/37054908?query=Python
54,Backend Python разработчик,ООО Юнайтед Концептс ,Москва,50000,,руб.,https://hh.ru/vacancy/37328507?query=Python
55,Backend Developer (Python / Go), DEEP & HARD ,Киев,2200,,USD,https://hh.ru/vacancy/37163082?query=Python
56,Python (Django) developer, evrone.ru ,Москва,,180000,руб.,https://hh.ru/vacancy/37293817?query=Python
57,Разработчик Python Backend, Web Interactive World ,Москва,150000,,руб.,https://hh.ru/vacancy/36916013?query=Python
58,Python developer, B2Broker Москва ,Москва,150000,200000,руб.,https://hh.ru/vacancy/36267171?query=Python
59,Middle/Senior python developer,ООО ЭНГРИ ,Москва,120000,200000,руб.,https://hh.ru/vacancy/37197399?query=Python
60,C++/python разработчик,ЗАО НОРСИ-ТРАНС ,Ростов-на-Дону,100000,,руб.,https://hh.ru/vacancy/36742022?query=Python
61,Веб-разработчик в стартап, Фурсов Максим Андреевич,Санкт-Петербург,,,,https://hh.ru/vacancy/37261694?query=Python
62,Программист Python,ООО Точка Оплаты ,Москва,40000,80000,руб.,https://hh.ru/vacancy/37034308?query=Python
63,Программист Python,ООО Трэйд Систем Кодинг ,Сочи,70000,,руб.,https://hh.ru/vacancy/37277427?query=Python
64,Senior Python разработчик, Redsteep ,Санкт-Петербург,150000,200000,руб.,https://hh.ru/vacancy/36160021?query=Python
65,Программист Python,ООО Телепорт ,Санкт-Петербург,100000,130000,руб.,https://hh.ru/vacancy/36956256?query=Python
66,Программист-стажер (Junior),АО Опытно-конструкторское бюро Электроавтоматика имени П.А. Ефимова ,Санкт-Петербург,,,,https://hh.ru/vacancy/37080806?query=Python
67,Разработчик front-end,АО Данные – центр обработки и автоматизации ,Москва,260000,,руб.,https://hh.ru/vacancy/37391111?query=Python
68,Senior Python Developer / Ведущий Python-разработчик, ASD Technologies ,Нижний,150000,,руб.,https://hh.ru/vacancy/36444269?query=Python
69,Начинающий python backend разработчик, Emphasoft ,Санкт-Петербург,,,,https://hh.ru/vacancy/36774670?query=Python
70,Python разработчик /backend developer (удаленная работа), Family Train Inc ,Санкт-Петербург,100000,140000,руб.,https://hh.ru/vacancy/37249604?query=Python
71,Senior Python developer, First_Line ,Санкт-Петербург,160000,220000,руб.,https://hh.ru/vacancy/37021797?query=Python
72,Программист Python,ООО МИТКОМ ,Пенза,,,,https://hh.ru/vacancy/37311532?query=Python
73,Team lead Python developer, BestDoctor ,Москва,180000,250000,руб.,https://hh.ru/vacancy/37115748?query=Python
74,Python developer удаленно, B2Broker Санкт-Петербург ,Краснодар,150000,200000,руб.,https://hh.ru/vacancy/37227093?query=Python
75,Python Lead Engineer, Spark Equation ,Санкт-Петербург,210000,,руб.,https://hh.ru/vacancy/36712601?query=Python
76,Начинающий python backend разработчик,ООО ВЕБИМ.РУ ,Санкт-Петербург,25000,40000,руб.,https://hh.ru/vacancy/37018429?query=Python
77,Программист Python (разговорный английский),ООО Прикладные технологии ,Екатеринбург,100000,150000,руб.,https://hh.ru/vacancy/36541983?query=Python
78,Разработчик на Python,ООО Телеком-Инжиниринг ,Новосибирск,40000,,руб.,https://hh.ru/vacancy/37317073?query=Python
79,Backend-разработчик / Python developer,ООО Эктострой ,Воронеж,70000,135000,руб.,https://hh.ru/vacancy/37389795?query=Python
80,Python Developer, Abiatec ,Минск,,,,https://hh.ru/vacancy/37394042?query=Python
81,Kotlin python swift разработчик, InterGroup ,Краснодар,15000,230000,руб.,https://hh.ru/vacancy/37314833?query=Python
82,"Системный программист Linux, C++, Go",ООО Бесконтактные устройства ,Москва,110000,190000,руб.,https://hh.ru/vacancy/37098581?query=Python
83,Senior Python Developer / Ведущий Python-разработчик, ASD Technologies ,Санкт-Петербург,150000,,руб.,https://hh.ru/vacancy/36444271?query=Python
84,Python developer удаленно, B2Broker Санкт-Петербург ,Екатеринбург,150000,200000,руб.,https://hh.ru/vacancy/37227103?query=Python
85,Python (Back-end) Developer, BP Mobile ,Минск,,,,https://hh.ru/vacancy/36677020?query=Python
86,Python-разработчик, FunBox ,Москва,100000,,руб.,https://hh.ru/vacancy/36445891?query=Python
87,Python back-end developer (senior), Digital Security ,Санкт-Петербург,150000,,руб.,https://hh.ru/vacancy/37242589?query=Python
88,Python middle developer, BestDoctor ,Москва,120000,160000,руб.,https://hh.ru/vacancy/36449432?query=Python
89,Senior Java Developer (Bioinformatics), Дженстек ,Санкт-Петербург,190000,290000,руб.,https://hh.ru/vacancy/35276136?query=Python
90,Python developer (удаленно), B2Broker Санкт-Петербург ,Новосибирск,150000,200000,руб.,https://hh.ru/vacancy/37227109?query=Python
91,Middle Python/Django разработчик,ООО Юкар ,Хабаровск,80000,,руб.,https://hh.ru/vacancy/36969598?query=Python
92,"Senior Backend Developer (Python, PostgreSQL)",ООО Комплаенс Технологии ,Москва,160000,220000,руб.,https://hh.ru/vacancy/37030619?query=Python
